"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"221","E01000225",1,57.2,11.13406,0.24952741020794
"222","E01000226",3,101.6,28.06831,0.292063492063492
"223","E01000227",2,72.5,10.71614,0.170812603648425
"224","E01000228",2,5.1,12.82872,0.138947368421053
"225","E01000229",3,59.5,23.51101,0.226666666666667
"226","E01000230",1,65.8,8.496194,0.229230769230769
"227","E01000231",1,50.7,15.61853,0.214067278287462
"228","E01000232",3,61.6,13.82314,0.277620396600567
"229","E01000233",1,68.6,12.16769,0.192125984251969
"230","E01000234",2,61.6,9.248158,0.235384615384615
"231","E01000235",3,48.1,23.52346,0.197594501718213
"232","E01000236",2,81.1,16.70738,0.277448071216617
"233","E01000237",1,62.8,14.45593,0.244594594594595
"234","E01000238",1,92.9,16.4159,0.20650406504065
"235","E01000239",1,45.9,18.71417,0.370581527936146
"236","E01000240",1,37.9,17.79831,0.223367697594502
"237","E01000241",1,51.3,11.92773,0.323275862068966
"238","E01000242",5,59.9,16.46292,0.269681742043551
"239","E01000243",2,102.6,17.6307,0.351453855878635
"240","E01000244",2,76.2,14.48978,0.297250859106529
"241","E01000245",6,109.4,31.83746,0.334155363748459
"242","E01000246",1,14,9.944574,0.331804281345566
"243","E01000247",2,63.7,10.87212,0.36058981233244
"244","E01000248",5,61.3,10.16927,0.313813813813814
"245","E01000249",3,18.8,5.331185,0.215034965034965
"246","E01000250",2,38.4,12.86659,0.38100102145046
"247","E01000251",4,82.7,22.89944,0.448785638859556
"248","E01000252",3,68.5,15.94601,0.397078353253652
"249","E01000253",4,5.1,10.11527,0.197654941373534
"250","E01000254",2,10.1,7.106885,0.292604501607717
"251","E01000255",4,13.9,18.03129,0.233396584440228
"252","E01000256",2,31.8,12.13266,0.208841463414634
"253","E01000257",5,27.3,30.57439,0.265193370165746
"254","E01000258",3,20.8,11.34034,0.32183908045977
"255","E01000259",3,20.2,12.27868,0.254081632653061
"256","E01000260",2,24.3,19.064,0.253613666228647
"257","E01000261",2,13.4,8.452681,0.359133126934985
"258","E01000262",2,10.2,15.17141,0.194148936170213
"259","E01000263",1,40.1,5.406214,0.122244488977956
"260","E01000264",4,43.6,14.59675,0.266561514195584
"261","E01000265",4,91.4,19.96826,0.289506953223767
"262","E01000266",1,23.8,8.516655,0.156555772994129
"263","E01000267",2,54.4,11.03126,0.227513227513228
"264","E01000268",3,68.9,20.93304,0.293959731543624
"265","E01000269",2,52.5,9.523819,0.188785046728972
"266","E01000270",2,58.8,9.765789,0.29073482428115
"267","E01000271",2,42.9,7.841792,0.27319587628866
"268","E01000272",4,28.5,5.707286,0.177350427350427
"269","E01000273",5,46.2,14.68106,0.347222222222222
"270","E01000274",3,69.7,18.99135,0.253218884120172
"271","E01000275",5,49.4,11.5496,0.299689440993789
"272","E01000276",1,29.6,5.30561,0.156126482213439
"273","E01000277",6,86,18.00973,0.441441441441441
"274","E01000278",1,55,5.484159,0.134538152610442
