lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01000682,3,54.8,0.303738318,3.2
E01000683,4,61.1,0.361702128,4.2
E01000684,2,50.6,0.182298547,3.4
E01000685,4,14.1,0.262135922,5.1
E01000686,2,34.2,0.300925926,2.7
E01000687,2,27.4,0.239329268,4.1
E01000688,2,14.8,0.158730159,3
E01000689,6,9.9,0.379084967,5.5
E01000690,1,42.2,0.219101124,3.8
E01000691,4,59.5,0.337641357,4.8
E01000692,2,44.7,0.279210926,3.7
E01000693,2,6,0.349122807,3.6
E01000694,4,16.1,0.217322835,3.2
E01000695,2,19.7,0.250814332,2.7
E01000696,1,7.4,0.307692308,2.8
E01000697,1,31.1,0.376470588,4.2
E01000698,2,10.5,0.161731207,4.6
E01000699,4,105.6,0.391975309,9.7
E01000700,4,75.4,0.312312312,4.7
E01000701,5,99.2,0.357262104,6.3
E01000702,2,95.4,0.316433566,5.2
E01000703,3,66.3,0.341498559,4.5
E01000704,2,44.4,0.323777403,5.6
E01000705,6,86.1,0.36460177,7.7
E01000706,6,42.9,0.379018613,4.7
E01000707,3,94.5,0.214552239,3.4
E01000708,3,64.2,0.309230769,4.2
E01000709,7,54.1,0.588310038,5.7
E01000710,2,29.6,0.453596288,3.8
E01000711,3,61,0.524703557,4
E01000712,3,45.6,0.429234339,2.6
E01000713,3,40.8,0.432768362,4
E01000714,2,56.2,0.473938224,5.7
E01000715,5,55.1,0.461016949,4.1
E01000716,6,38.3,0.398860399,3.9
E01000717,3,51.3,0.480314961,4.1
E01000718,6,61,0.397528321,9.3
E01000719,4,54.3,0.344665885,7.6
E01000720,7,2.2,0.314371257,10.2
E01000721,7,49.8,0.314885496,13.3
E01000722,5,28.3,0.295454545,6.5
E01000723,5,29.4,0.272727273,5.9
E01000724,7,42.7,0.277448071,12.9
E01000725,6,48.4,0.40516129,8.1
E01000726,6,45.5,0.345762712,3.1
E01000727,4,40.4,0.330422125,6
E01000728,5,5.4,0.327245053,5.4
E01000729,9,68.5,0.438106796,13.1
E01000730,9,46.2,0.26348228,10.2
E01000731,7,58.3,0.238721805,8
E01000732,4,41.6,0.250425894,5.6
E01000733,6,42.6,0.271889401,6.9
E01000734,3,42,0.187376726,4.4
E01000735,7,28.9,0.288256228,9.4
E01000736,7,39.3,0.289644013,7.6
E01000737,8,37.4,0.35,7.2
E01000738,6,29.6,0.287974684,5.4
E01000739,9,67.8,0.364353312,8.6
E01000740,4,24.3,0.486796785,7.3
E01000741,8,116.5,0.507125891,10.1
E01000742,6,75.7,0.483716475,8
E01000743,9,56.6,0.449464923,10.2
E01000744,9,71.4,0.434017595,13.5
E01000745,4,37.5,0.430351076,8.5
E01000746,4,102.8,0.446786091,6.6
E01000747,3,1.9,0.253557568,4.4
E01000748,1,1.6,0.259701493,3.8
E01000749,3,1.7,0.217527387,2.2
E01000750,8,48,0.360902256,7.3
E01000751,4,10.9,0.29244114,4
E01000752,3,11.6,0.38688946,4.9
E01000753,4,20.7,0.256,3.9
E01000754,2,43.2,0.3512786,4.6
E01000755,1,43.9,0.282926829,2.9
E01000756,2,15.4,0.222222222,2.3
E01000757,2,27.6,0.199667221,2.7
E01000758,3,48.7,0.231810491,2.9
E01000759,4,3.4,0.171220401,3.6
E01000760,5,29.8,0.254545455,3.8
E01000761,4,26.9,0.190641248,4.7
E01000762,3,50.7,0.36473755,5.8
E01000763,4,17.2,0.181644359,3.3
E01000764,4,31.9,0.266982622,3.7
E01000765,4,7.4,0.276877761,4
E01000766,2,46.4,0.203100775,2.8
E01000767,2,52,0.180602007,3.4
E01000768,4,32.2,0.261011419,4.3
E01000769,9,11.8,0.189427313,3.5
E01000770,3,20.8,0.397973951,3.5
E01000771,2,44.4,0.203225806,4.4
E01000772,3,46.9,0.399182561,2.4
E01000773,3,48.9,0.269421488,3.6
E01000774,4,38.9,0.242685026,4.6
E01000775,2,20.4,0.238754325,3.4
E01000777,2,62.9,0.178761062,4.3
E01000778,4,76.6,0.275080906,5
E01000779,7,10.6,0.343012704,5.9
E01000780,8,70.4,0.299363057,7.7
E01000781,7,84,0.309446254,11.8
E01000782,9,50.8,0.404945904,10.2
E01000783,8,79.6,0.300319489,11
E01000784,2,67.2,0.223367698,4.6
E01000785,9,65.7,0.354679803,8.6
E01000786,4,15,0.255183413,4.6
E01000787,6,41.2,0.397301349,7.7
E01000788,4,41.4,0.270226537,6.3
E01000789,6,125.5,0.255707763,14.2
E01000790,4,38.7,0.34059633,5.4
E01000791,4,36,0.288244767,5
E01000792,5,36.2,0.277432712,6.4
E01000793,3,34,0.209953344,3.1
E01000794,4,33.5,0.196399345,3.9
E01000795,4,49.4,0.226937269,5
E01000796,5,164.3,0.288401254,12.5
E01000797,4,23.8,0.337260677,4.6
E01000798,9,108.3,0.453102453,15.6
E01000799,3,76,0.353268428,8.2
E01000800,5,70,0.456410256,10.3
E01000801,6,76.5,0.404615385,7.5
E01000802,4,93.4,0.369333333,7.8
E01000803,3,61.1,0.373972603,6.4
E01000804,2,21.6,0.233576642,4.7
E01000805,6,94.1,0.390516039,7.5
E01000806,4,104.7,0.391927083,10.3
E01000807,1,19.1,0.193277311,4.2
E01000808,1,48.1,0.2016,3.5
E01000809,1,27.9,0.271860095,4.5
E01000810,1,40.4,0.186978297,3.7
E01000811,1,44.2,0.285464098,3.4
E01000812,4,39.4,0.318250377,3.9
E01000813,2,26.4,0.222919937,4.2
E01000814,2,32.1,0.15070922,2.4
E01000815,1,31.5,0.140569395,2.1
E01000816,3,48.9,0.236486486,5.6
E01000818,2,11.3,0.204225352,3.6
E01000819,9,43.8,0.351351351,10.6
E01000820,9,23.7,0.407465008,4.6
E01000822,4,72.7,0.367262724,6.4
E01000823,2,68.6,0.344042838,4.1
E01000824,5,72.9,0.322957198,6.4
E01000825,4,89.3,0.446096654,6.8
E01000826,2,31.4,0.158081705,2.8
E01000827,2,45.2,0.370886076,5.1
E01000828,4,46.4,0.398172324,4.1
E01000829,3,77.7,0.309264305,4.1
E01000830,2,26.1,0.139705882,3
E01000831,5,40.4,0.423320659,4.3
E01000832,1,17.2,0.265734266,3.7
E01000833,2,40.7,0.14889336,4.1
E01000834,2,63,0.147505423,2.5
E01000835,3,48.5,0.296296296,3.9
E01000836,2,66.6,0.166,3.1
E01000837,5,31.6,0.346213292,4.4
E01000838,3,27.1,0.229927007,2.7
E01000839,2,54.1,0.156363636,3.5
E01000840,3,19.5,0.297810219,3
E01000841,2,45.7,0.231023102,3.3
E01000842,4,137.3,0.46961326,3.9
E01000843,3,201.4,0.418439716,6.8
E01000844,3,155.6,0.416091954,3.1
E01000845,3,124.1,0.465116279,3.7
E01000846,8,181.5,0.357142857,9.5
E01000847,3,171.2,0.344165436,8.7
E01000848,2,157.2,0.432298137,3.9
E01000849,2,201.9,0.540603248,3.2
E01000850,1,86.7,0.487951807,3.1
E01000851,1,178.5,0.491289199,3.9
E01000852,5,127.4,0.6208,4.2
E01000853,8,278.3,0.558333333,13.4
E01000854,1,97.1,0.431754875,6.5
E01000855,1,55,0.675067507,4.5
E01000856,7,138.6,0.326433121,11.9
E01000857,5,178.2,0.43877551,3
E01000858,9,85.4,0.370322581,9.7
E01000859,2,164,0.470879802,4
E01000860,5,63.5,0.646173149,4.5
E01000861,6,138.1,0.432098765,7.4
E01000862,3,100.7,0.359068627,2.9
E01000863,9,91.8,0.382308846,6.5
E01000864,6,157.5,0.369595537,5.8
E01000865,4,138.5,0.403547672,4.8
E01000866,6,139.5,0.393088553,7.1
E01000867,8,198.8,0.354074074,7
E01000868,9,172.3,0.375,12.9
E01000869,8,184.3,0.376421923,6.1
E01000870,9,133.6,0.408268734,7.4
E01000871,2,54.3,0.289556962,6.5
E01000872,4,129.5,0.418400876,5.5
E01000873,2,134.3,0.330985915,4.2
E01000874,1,182.1,0.322443182,3.6
E01000875,6,141.4,0.439809297,5.7
E01000876,8,149.7,0.4275,9.7
E01000877,1,142.4,0.377410468,5.2
E01000878,1,84.5,0.341818182,4.5
E01000879,3,82.2,0.393687708,4.5
E01000880,2,78.6,0.307568438,3.3
E01000881,2,102.2,0.390822785,4.6
E01000882,1,124.1,0.385989011,2.6
E01000883,1,94.4,0.404388715,5
E01000884,1,59.9,0.313691508,3.4
E01000885,3,48.8,0.290540541,3.1
E01000886,5,140.2,0.308580858,4.4
E01000887,7,148.7,0.379710145,5.8
E01000888,6,170.4,0.361549498,6.6
E01000889,9,142.4,0.340943683,11.8
E01000890,10,214.9,0.465449804,13.3
E01000891,10,203,0.415178571,13.8
E01000892,6,150.7,0.374240583,5
E01000893,3,29.7,0.393006993,3.6
E01000894,2,62.7,0.337641357,3.6
E01000895,4,166.2,0.479191439,3
E01000896,2,112,0.341269841,3.9
E01000897,2,80.7,0.3370319,3.3
E01000898,6,101.4,0.491764706,5
E01000899,2,15.4,0.328080229,2.5
E01000900,7,181.2,0.338177015,8.8
E01000901,8,186.5,0.324324324,11.4
E01000902,9,172.5,0.366101695,10.6
E01000903,4,141.2,0.43877551,6.9
E01000904,8,182,0.336601307,8.8
E01000905,9,237.7,0.369458128,11.9
E01000906,3,111.3,0.404822335,3.9
E01000907,9,133.4,0.330143541,9.9
E01000908,9,90.3,0.507859734,8
E01000909,4,70.6,0.301059002,4.9
E01000910,2,113.1,0.294217687,3.9
E01000911,7,177,0.331825038,6.4
E01000912,9,17.7,0.385714286,8.8
E01000913,3,10.6,0.290858726,2.1
E01000914,2,39.4,0.497938144,5
E01000915,3,206.1,0.388976378,10.3
E01000916,5,121.9,0.444948922,5.7
E01000917,9,249.7,0.501642935,14
E01000918,9,124.3,0.515508021,7.6
E01000919,3,131.8,0.520383693,4.7
E01000920,3,143.7,0.432346723,5.7
E01000921,5,158,0.402748414,4.8
E01000922,8,81,0.407350689,6
E01000923,9,174.9,0.405487805,7.1
E01000924,7,166.5,0.386163522,5
E01000925,9,188.8,0.391096979,11.9
E01000926,7,193.8,0.29226361,3.9
E01000927,7,172.8,0.279291553,4.5
E01000928,9,66.6,0.343108504,5.7
E01000929,5,171.3,0.357664234,12.2
E01000930,7,164.4,0.583643123,9.3
E01000931,8,129.8,0.408934708,10.9
E01000932,5,278.1,0.424498416,4.2
E01000933,6,153.3,0.414129111,6.5
E01000934,9,185.9,0.461748634,11.3
E01000935,8,227.9,0.386217949,10.4
E01000936,2,207.1,0.361940299,10.2
E01000937,1,119.8,0.589641434,7.3
E01000938,7,214.7,0.413839891,10.5
E01000939,8,155.6,0.349775785,13.7
E01000940,3,232,0.473782772,12.2
E01000941,8,283.4,0.434470377,12.1
E01000942,1,289.2,0.555393586,4.3
E01000943,3,150.6,0.602348993,7.6
E01000944,4,325.2,0.28185907,11.8
E01000945,6,67.1,0.36497545,6.8
E01000946,3,31,0.436363636,4.8
E01000947,8,125.3,0.394948335,7.9
E01000948,9,88.3,0.427895981,4.6
E01000949,6,262.5,0.447902571,8.5
E01000950,8,210.8,0.349090909,13.4
E01000951,5,319.1,0.381426202,13.5
E01000952,9,198.7,0.305185185,10.1
E01000953,8,27.2,0.422316384,9.1
E01000954,8,298.4,0.314641745,13.4
E01000955,9,249.6,0.445966514,10.4
E01000956,8,96.5,0.363486842,10.9
E01000957,8,148.2,0.34379085,8.8
E01000958,8,93.5,0.283832335,8.4
E01000959,8,228.1,0.378223496,9.3
E01000960,3,156.2,0.381688466,6.7
E01000961,7,133.2,0.302147239,10.2
E01000962,1,167.1,0.316778523,4.4
E01000963,2,99.8,0.365452409,4.2
E01000964,4,125,0.364656381,5.7
E01000965,3,141.6,0.409685864,3
E01000966,1,116,0.328888889,2
E01000967,1,37.9,0.363489499,3.5
E01000968,2,184.7,0.413157895,3.8
E01000969,1,121.8,0.357442348,3.9
E01000970,3,209.3,0.48856799,3.4
E01000971,2,184.1,0.342064715,4
E01000972,7,143.5,0.436248683,8.2
E01000973,6,80,0.381431767,7.1
E01000974,8,148.7,0.436053593,7.6
E01000975,2,85.2,0.329577465,5.4
E01000976,2,114.1,0.351941748,7.6
E01000977,9,100,0.517429194,10.5
E01000978,2,113,0.473570658,7.7
E01000979,2,130,0.386075949,4.9
E01000980,3,97.2,0.296819788,7.2
E01000981,2,96,0.259659969,6.2
E01000982,1,117.2,0.299707602,7.5
E01000983,1,109.7,0.255639098,6.2
E01000984,5,106.1,0.423357664,8.1
E01000985,1,38,0.178640777,5.4
E01000986,1,53.4,0.274741507,4.5
E01000987,2,89.2,0.183235867,4.5
E01000989,2,65.6,0.210191083,3.1
E01000990,5,84.5,0.30669145,10.8
E01000991,1,36.9,0.235649547,4.7
E01000992,6,39.9,0.291839557,10.1
E01000993,1,98.6,0.23538961,5.5
E01000994,1,90.7,0.220149254,9.3
E01000995,1,113.7,0.279731993,10
E01000996,1,119.2,0.246049661,6.7
E01000997,3,131.2,0.259023355,10
E01000998,5,111.7,0.340222576,9.8
E01000999,2,136.6,0.211009174,7.1
E01001000,4,91.3,0.273127753,9.6
E01001001,4,98.4,0.365111562,12.4
E01001002,1,125.5,0.297188755,7.5
E01001003,2,96.8,0.347039474,7.1
E01001004,1,136.7,0.247776366,8.5
E01001005,1,184.2,0.182835821,9.2
E01001006,1,53.3,0.293831169,8.3
E01001007,1,131.6,0.183471074,9.3
E01001008,1,87.4,0.198884758,10.2
E01001009,1,160.9,0.218390805,6.9
E01001010,2,20.8,0.218923933,10.1
E01001011,2,152.7,0.332450331,9.3
E01001012,2,134.7,0.357908847,12.4
E01001013,6,101.5,0.394883204,13.9
E01001014,2,41.5,0.31450253,8.2
E01001015,6,35.9,0.205825243,7.8
E01001016,3,16.3,0.242105263,4.8
E01001017,2,12.1,0.224299065,4.8
E01001018,4,16.4,0.24256651,5
E01001019,3,25.3,0.247892074,4.8
E01001020,4,45.3,0.249619482,4.3
E01001021,7,6.5,0.357627119,10.1
E01001022,4,14.5,0.248772504,5.6
E01001023,4,23,0.389565217,7.1
E01001024,1,51.2,0.212406015,5.3
E01001025,1,56.8,0.208588957,4.7
E01001026,2,62.4,0.205928237,3.6
E01001027,1,10.9,0.166666667,4
E01001028,3,18.7,0.15530303,4.7
E01001029,2,31.9,0.194085028,4.2
E01001030,2,33.7,0.132034632,2.8
E01001031,1,36.5,0.128309572,5.2
E01001032,1,21.6,0.178846154,2.7
E01001033,2,54.2,0.328530259,7.7
E01001034,2,50.7,0.325757576,5.4
E01001035,5,80.6,0.442446043,7.2
E01001036,4,18,0.324840764,5.1
E01001037,2,89.2,0.294871795,7.4
E01001038,5,88.5,0.458023379,5.7
E01001039,1,31.9,0.248713551,4.3
E01001040,2,87.9,0.314547837,6.5
E01001041,3,80.6,0.390957447,8.1
E01001042,2,87.2,0.373205742,9
E01001043,3,75.4,0.351913478,7.6
E01001044,1,42.9,0.369690011,6.4
E01001045,8,36.7,0.51521511,9.6
E01001046,1,89.3,0.429411765,5
E01001047,2,91.9,0.475258918,5.8
E01001048,1,55.6,0.389884089,8.8
E01001049,2,10.2,0.198019802,4.8
E01001050,4,106.3,0.451371571,6.7
E01001051,4,60.6,0.289156627,11.6
E01001052,5,89.5,0.155319149,14
E01001053,3,65.5,0.19544592,8.2
E01001054,3,68,0.191919192,11.7
E01001055,7,54.7,0.273504274,11.4
E01001056,3,119.5,0.136593592,16.2
E01001057,4,131.5,0.141287284,18.3
E01001058,1,67.4,0.224568138,6
E01001059,2,75.7,0.427745665,4.4
E01001060,2,10.4,0.315068493,5.2
E01001061,5,33.8,0.369158879,6.7
E01001062,1,12.6,0.197898424,2.9
E01001063,1,48.3,0.236797274,4.8
E01001064,1,4.5,0.216965742,4.4
E01001065,3,11.3,0.455357143,5.6
E01001066,5,83.9,0.237322515,10.8
E01001067,1,23.8,0.128027682,4.2
E01001068,2,25,0.24744898,5.8
E01001069,4,34.7,0.212,4.1
E01001070,2,32.7,0.229135053,8.3
E01001071,4,25.3,0.239455782,4.9
E01001072,3,6.9,0.163227017,5
E01001073,3,47,0.334951456,6.3
E01001074,2,47.7,0.338164251,6.6
E01001075,2,34.6,0.325077399,5.5
E01001076,4,46.8,0.220309811,11.1
E01001077,1,76.7,0.210325048,6
E01001078,4,37.5,0.189083821,10.3
E01001079,3,55.5,0.220657277,10.4
E01001080,8,76.8,0.372634643,13.9
E01001081,3,30.9,0.223320158,11.4
E01001082,3,29.4,0.169642857,10.2
E01001083,1,49.9,0.186567164,6.9
E01001084,1,30.6,0.230075188,5.3
E01001085,1,88.3,0.333333333,6.5
E01001086,2,76,0.2039801,7
E01001087,1,58.4,0.336084906,9.8
E01001088,1,109.8,0.184121622,7.1
E01001089,4,121.4,0.311888112,9.8
E01001090,1,128.1,0.292841649,7.2
E01001091,1,49.6,0.231316726,7.8
E01001092,9,30.2,0.255102041,6.4
E01001093,2,42.9,0.275216138,5
E01001094,3,13.6,0.170825336,3.9
E01001095,2,61.1,0.26369863,5.6
E01001096,1,38.9,0.124528302,2.9
E01001097,4,47.7,0.440982059,4.7
E01001098,2,30.3,0.12815534,5
E01001099,5,69.7,0.235494881,7.4
E01001100,1,60.5,0.319870759,3.2
E01001101,1,26,0.170923379,4
E01001102,3,23,0.314049587,2.2
E01001103,2,22.8,0.248847926,4.3
E01001104,2,9.8,0.204049844,5
E01001105,3,17.5,0.237341772,5.4
E01001106,2,34.6,0.188888889,5.6
E01001107,2,21.4,0.268882175,5.1
E01001108,1,31.4,0.159235669,4.1
E01001109,3,43.3,0.389349112,9.2
E01001110,6,116.1,0.368352789,9.6
E01001111,5,78.6,0.262295082,8.7
E01001112,7,48.3,0.394495413,12.2
E01001113,3,103.7,0.364779874,10.3
E01001114,5,78.5,0.278632479,13.8
E01001115,7,77.8,0.293759513,12.1
E01001116,3,86.1,0.263257576,9.2
E01001117,5,158.6,0.357592093,7.8
E01001118,4,101.2,0.325786164,11.9
E01001119,1,21.3,0.229166667,2.6
E01001120,2,41.2,0.197916667,3.6
E01001121,1,5.9,0.163672655,3.2
E01001122,1,12.4,0.169625247,3.9
E01001123,1,20.2,0.224080268,3.9
E01001124,1,26.2,0.203612479,3.8
E01001125,1,42.5,0.214285714,5.7
E01001126,1,63.8,0.264214047,3.4
E01001127,1,48.7,0.174216028,4.9
E01001128,3,73.4,0.189045936,10.9
E01001129,1,50.1,0.147410359,3.2
E01001130,2,128.6,0.142140468,15.4
E01001131,2,95.4,0.341605839,5.7
E01001132,1,33.9,0.266886326,5.6
E01001133,1,39,0.406336088,5.4
E01001134,1,43,0.318507891,5.4
E01001135,1,36.5,0.239302694,4.3
E01001136,7,66.7,0.48004315,12.1
E01001137,6,49.8,0.443428571,8.4
E01001138,2,60.3,0.412144703,6.6
E01001139,1,86.9,0.350144092,8.4
E01001140,4,46,0.410090556,8.4
E01001141,8,81.5,0.399647887,7.6
E01001142,1,49.2,0.287096774,7.5
E01001143,5,86.8,0.379716981,13
E01001144,8,139.2,0.460476788,13.9
E01001145,8,120.7,0.452830189,12.6
E01001146,1,122.5,0.250411862,9.3
E01001147,3,80.7,0.29516129,11.7
E01001148,1,113.4,0.349182764,9.9
E01001149,1,114.7,0.281098546,9.9
E01001150,1,59.6,0.25483871,8.2
E01001151,5,95.8,0.400894188,11.8
E01001152,2,97.1,0.359050445,9.3
E01001153,1,115.7,0.279187817,8.6
E01001154,2,111.7,0.270748299,11.6
E01001155,8,118.2,0.466491459,11.7
E01001156,4,61.8,0.399445215,9.7
E01001157,1,51.3,0.230894309,5.4
E01001158,2,74.5,0.358571429,8.3
E01001159,1,44.7,0.298245614,7.1
E01001160,1,58.6,0.194577352,7.7
E01001161,4,62.1,0.187279152,12.8
E01001162,3,54.9,0.341590613,10.2
E01001163,1,68.7,0.307017544,6.3
E01001164,4,104.2,0.41995842,7.5
E01001165,1,91.7,0.307692308,6.6
E01001166,3,103.2,0.374850299,8.9
E01001167,3,38.9,0.244873341,8
E01001168,1,77.5,0.327027027,5.5
E01001169,5,75.1,0.307219662,8.3
E01001170,7,79.6,0.441860465,5.7
E01001171,8,55,0.34948605,6.8
E01001172,6,24.9,0.269480519,10.5
E01001173,2,25.2,0.315886134,6.3
E01001174,1,70.8,0.208413002,8.3
E01001175,5,101.7,0.265654649,11.6
E01001176,1,75.4,0.211783439,8.4
E01001177,3,55,0.2323049,8.3
E01001178,9,75.6,0.310891089,16.4
E01001179,1,133.9,0.226765799,6.7
E01001180,1,113.6,0.205254516,10.8
E01001181,6,125.4,0.321475626,8.4
E01001182,1,109.3,0.242424242,7.1
E01001183,1,116.4,0.232727273,9.2
E01001184,1,71.5,0.210526316,6.7
E01001185,3,81.4,0.358437936,8
E01001186,6,96.9,0.431629013,12.7
E01001187,3,117,0.336217553,9.1
E01001188,4,97.5,0.303571429,11.5
E01001189,2,102.7,0.255913978,7.6
E01001190,2,62.9,0.293831169,6.8
E01001191,5,112.3,0.42162819,11.3
E01001192,5,88.5,0.370013755,13.6
E01001193,4,102.5,0.168096055,10.1
E01001194,2,29,0.251602564,7.2
E01001195,2,44.2,0.212374582,5.8
E01001196,7,77.1,0.413385827,10
E01001197,6,43.5,0.339820359,7.7
E01001198,3,131.6,0.330479452,5.7
E01001199,5,161.1,0.33573487,7.7
E01001200,4,112,0.310580205,5.5
E01001201,6,127.3,0.323987539,5.5
E01001202,6,129.7,0.361653272,7.1
E01001203,7,188.1,0.484320557,8.1
E01001204,1,94.4,0.222222222,4.4
E01001205,4,63.3,0.29264214,9.3
E01001206,3,114.4,0.243986254,14.2
E01001207,1,98.4,0.314371257,5.5
E01001208,1,25.3,0.224899598,3.9
E01001209,2,61.9,0.244204019,3.6
E01001210,7,74.2,0.436486486,13.6
E01001211,1,94.5,0.343262411,5.5
E01001212,5,58.4,0.373371925,5.5
E01001213,1,121.2,0.170974155,9.2
E01001214,1,75.2,0.153039832,7
E01001215,2,101.5,0.268115942,10
E01001216,1,110.4,0.205882353,7.8
E01001217,2,82.3,0.145054945,6.3
E01001218,3,69.1,0.290462428,10.4
E01001219,4,123.9,0.271513353,11.2
E01001220,2,16.2,0.197452229,15.3
E01001221,4,61.5,0.43697479,4.5
E01001222,5,126,0.397391304,6.8
E01001223,4,67.9,0.362363919,8
E01001224,1,67.6,0.2,3.7
E01001225,4,76.4,0.392812887,4.5
E01001226,2,67,0.353293413,4.4
E01001227,1,87.6,0.285714286,4.2
E01001228,3,68.1,0.390151515,5.2
E01001229,6,74.7,0.266331658,8.9
E01001230,7,77.8,0.351351351,9.6
E01001231,1,46.4,0.254310345,4.6
E01001232,3,71.3,0.287581699,6.8
E01001233,4,83.5,0.343906511,5.2
E01001234,2,45.8,0.3875,5.4
E01001235,2,58.2,0.332850941,3.6
E01001236,3,113.5,0.398110661,4.7
E01001237,5,67.5,0.331288344,4.8
E01001238,2,69.7,0.366504854,7.6
E01001239,3,37.1,0.274864376,9.6
E01001240,2,82.3,0.244140625,8.6
E01001241,1,42.5,0.256461233,6.8
E01001242,5,69.8,0.322519084,7.5
E01001243,2,78.5,0.355932203,6.9
E01001244,2,118.8,0.373976342,8.2
E01001245,1,172.7,0.29890644,5.1
E01001246,3,13.5,0.270325203,9.9
E01001247,1,19.1,0.198813056,7.8
E01001248,3,23.9,0.256454389,5.7
E01001249,8,152.3,0.375609756,9
E01001250,9,82.5,0.460834181,9
E01001251,1,88.5,0.286798179,5.4
E01001252,4,100.1,0.3203125,7.4
E01001253,2,101,0.304477612,6.5
E01001254,1,80.4,0.390666667,4.9
E01001255,2,90.8,0.276315789,6.2
E01001257,5,108.2,0.308042489,13.4
E01001258,2,79.6,0.287066246,8
E01001259,2,55.8,0.262745098,8.8
E01001260,2,70.8,0.268181818,5.3
E01001261,1,50.7,0.267810026,9
E01001262,6,61.3,0.295698925,10
E01001263,4,51,0.326120556,9.4
E01001264,2,54.5,0.261437908,8.4
E01001265,2,33.8,0.280701754,6.8
E01001266,1,25,0.152249135,6
E01001267,4,50.9,0.37960688,8.7
E01001268,2,57.1,0.257551669,5.1
E01001269,1,68.1,0.19504644,5.5
E01001270,1,61.1,0.178761062,7.2
E01001271,1,53.2,0.205733558,7.7
E01001272,1,29.7,0.212177122,6.5
E01001273,1,41.7,0.247906198,4.3
E01001274,1,60.8,0.241025641,4.9
E01001275,2,54.5,0.424737456,7.5
E01001276,1,49.6,0.296466974,6.5
E01001277,1,34,0.25748503,5.7
E01001278,1,43.4,0.320848939,7.5
E01001279,1,58.2,0.235815603,4.3
E01001280,1,46.9,0.340153453,5.1
E01001281,1,55.6,0.2896,2.8
E01001282,4,103.7,0.342902711,10.1
E01001283,8,61.2,0.412921348,8.6
E01001284,1,32.6,0.18401487,4.3
E01001285,2,79.3,0.231316726,7
E01001286,4,78.4,0.243548387,6.3
E01001287,3,155.9,0.207039337,9.4
E01001288,3,86.6,0.210922787,5.6
E01001289,1,110.3,0.207983193,6.5
E01001290,2,36.6,0.291327913,4.4
E01001291,1,99.1,0.143434343,9.9
E01001292,1,91.6,0.162698413,5.1
E01001293,1,109.6,0.184100418,7.7
E01001294,1,63.8,0.157992565,7.1
E01001295,1,114.1,0.142034549,7
E01001296,1,93.6,0.136138614,7
E01001297,1,72.4,0.161616162,7
E01001298,4,110.3,0.185255198,10.9
E01001299,1,80.4,0.198156682,5
E01001300,1,123,0.199013158,3.3
E01001301,4,70.9,0.343705799,4
E01001302,2,48.1,0.252442997,5.2
E01001303,1,102,0.225961538,3.9
E01001304,3,140.6,0.34751773,3.5
E01001305,1,113.9,0.219242902,3.8
E01001306,2,104.6,0.33941094,5.1
E01001307,1,32,0.205371248,7
E01001308,1,18.4,0.216494845,6.1
E01001309,1,54.8,0.211726384,5.9
E01001310,1,75.8,0.274509804,7.4
E01001311,2,64.8,0.253393665,7.8
E01001312,1,89.7,0.188135593,6.2
E01001313,1,98.4,0.151162791,6.7
E01001314,1,54.1,0.173913043,5
E01001315,1,88.9,0.185858586,7
E01001316,2,87,0.308064516,10.3
E01001317,4,55.2,0.265306122,8.3
E01001318,2,70.3,0.289512555,9.6
E01001319,1,107.1,0.169387755,5.6
E01001320,6,33.8,0.220973783,12.2
E01001321,3,61,0.263852243,7.6
E01001322,1,31,0.258373206,6.3
E01001323,1,51,0.298245614,6.1
E01001324,3,49.1,0.359516616,9.2
E01001325,4,18.5,0.244186047,9
E01001326,4,23.2,0.332344214,10.9
E01001327,2,64.8,0.288333333,9.6
E01001328,3,45.1,0.264516129,12.3
E01001329,2,59.1,0.247226624,8.3
E01001330,7,53.8,0.363207547,11.1
E01001331,3,117.6,0.284789644,14.9
E01001332,6,109.5,0.300518135,12.9
E01001333,3,68.4,0.268206039,12.9
E01001334,1,102.1,0.287356322,12.7
E01001335,4,36.3,0.238549618,7.5
E01001336,2,62,0.250481696,8
E01001337,6,12.1,0.278761062,9.6
E01001338,3,35.7,0.181467181,19.7
E01001339,4,25.4,0.195422535,12.8
E01001340,10,155.2,0.270750988,10
E01001341,1,74.7,0.168241966,6.1
E01001342,1,98.3,0.238244514,6.1
E01001343,1,52.2,0.17805383,7.1
E01001344,3,44.7,0.306818182,6.8
E01001345,1,92.8,0.171656687,9.1
E01001346,1,81.7,0.201892744,4.5
E01001347,1,22.8,0.212355212,6.1
E01001348,1,38.9,0.295527157,4.9
E01001349,5,20.6,0.280078895,9.4
E01001350,4,49.8,0.357487923,6.8
E01001351,7,102.8,0.393341554,8.6
E01001352,2,94.3,0.290718039,4.2
E01001353,5,85.2,0.383008357,6.1
E01001354,4,68,0.277695716,4.3
E01001355,4,113.7,0.390789474,6.9
E01001356,8,235,0.430439952,15.2
E01001357,6,102.5,0.298122066,9.7
E01001358,6,61.8,0.290102389,15.2
E01001359,1,165.9,0.149466192,9.3
E01001360,1,136.9,0.130693069,8.7
E01001361,2,46.6,0.158695652,10.1
E01001362,2,79.3,0.215264188,10
E01001363,1,124.5,0.146496815,9.9
