lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01000158,3,54.4,0.29787234,7.1
E01000159,2,36,0.203100775,7.9
E01000160,2,68.1,0.345612134,4.4
E01000161,2,75.1,0.295774648,4.9
E01000162,7,87.7,0.257246377,7.8
E01000163,6,81.4,0.418972332,11.5
E01000164,4,30.8,0.277777778,8.5
E01000165,1,100.5,0.274398868,6.1
E01000166,2,42.8,0.322530864,6.2
E01000167,4,21.7,0.262452107,7.8
E01000168,1,49.8,0.178819444,4.7
E01000169,3,62.5,0.350746269,4.7
E01000170,4,55.2,0.306402439,6.5
E01000171,2,55.5,0.351635514,7.7
E01000172,1,30.8,0.23089701,5.2
E01000173,1,47,0.189627229,4.7
E01000174,3,91.7,0.369451697,9.1
E01000175,2,31.6,0.245954693,6.7
E01000176,4,73.4,0.388252149,7.8
E01000177,2,96.5,0.265217391,3.5
E01000178,2,42.9,0.284892086,3.5
E01000179,2,112.2,0.374836173,4
E01000180,2,94.1,0.346879536,4.2
E01000181,1,119.6,0.242152466,5
E01000182,2,77.1,0.339142091,4
E01000183,3,63.7,0.320205479,2.9
E01000184,6,20.6,0.274353877,9.4
E01000185,7,117.1,0.349834983,12.2
E01000186,1,63.2,0.119760479,3.9
E01000187,2,76.8,0.227655987,6.4
E01000188,1,4.9,0.135658915,3
E01000189,5,111.9,0.277074543,14.5
E01000190,1,63.6,0.214285714,4.6
E01000191,1,60,0.20754717,4.4
E01000192,2,65.1,0.269399707,5.3
E01000193,1,56.2,0.249158249,5
E01000194,1,49.3,0.242622951,6.6
E01000195,5,56.7,0.319942611,10.5
E01000196,1,73.3,0.386160714,5.9
E01000197,1,66.1,0.287128713,6.3
E01000198,1,57.5,0.271532847,3.2
E01000199,1,47.8,0.335320417,3.2
E01000200,1,66.4,0.395133256,5.2
E01000201,1,38.9,0.203094778,4.2
E01000202,1,77.5,0.24691358,3.9
E01000203,1,56.3,0.277324633,7.4
E01000204,2,54.6,0.292576419,6
E01000205,1,40,0.287560582,3.7
E01000206,1,11.9,0.192607004,4.6
E01000207,1,45.6,0.245065789,3.9
E01000208,1,39.2,0.256865913,3.7
E01000209,1,38.9,0.413654618,3.1
E01000210,1,31.2,0.261666667,3.2
E01000211,1,73.5,0.361207898,6.4
E01000212,1,41.1,0.223062382,2.3
E01000213,1,33.9,0.176344086,3.3
E01000214,1,50.2,0.315202232,4
E01000215,1,92.9,0.302941176,4.4
E01000216,1,100.9,0.266081871,5.8
E01000217,1,80.4,0.193857965,4.6
E01000218,1,119.8,0.256544503,5
E01000219,1,99.6,0.220309811,8.1
E01000220,4,122,0.325463744,5
E01000221,5,30.7,0.327835052,11.8
E01000222,1,38,0.211462451,9.6
E01000223,4,23.6,0.30125523,8.6
E01000224,1,97.1,0.223282443,8.7
E01000225,1,57.2,0.24952741,4.3
E01000226,3,101.6,0.292063492,8.7
E01000227,2,72.5,0.170812604,5.2
E01000228,2,5.1,0.138947368,3.5
E01000229,3,59.5,0.226666667,9.6
E01000230,1,65.8,0.229230769,3.8
E01000231,1,50.7,0.214067278,6.2
E01000232,3,61.6,0.277620397,5.5
E01000233,1,68.6,0.192125984,3.9
E01000234,2,61.6,0.235384615,5.4
E01000235,3,48.1,0.197594502,8
E01000236,2,81.1,0.277448071,6
E01000237,1,62.8,0.244594595,3.9
E01000238,1,92.9,0.206504065,7.8
E01000239,1,45.9,0.370581528,6.7
E01000240,1,37.9,0.223367698,6.3
E01000241,1,51.3,0.323275862,4.4
E01000242,5,59.9,0.269681742,5.7
E01000243,2,102.6,0.351453856,5.3
E01000244,2,76.2,0.297250859,4
E01000245,6,109.4,0.334155364,7.3
E01000246,1,14,0.331804281,4
E01000247,2,63.7,0.360589812,6
E01000248,5,61.3,0.313813814,5.6
E01000249,3,18.8,0.215034965,3.8
E01000250,2,38.4,0.381001021,3.9
E01000251,4,82.7,0.448785639,5.4
E01000252,3,68.5,0.397078353,6.2
E01000253,4,5.1,0.197654941,4.4
E01000254,2,10.1,0.292604502,4.7
E01000255,4,13.9,0.233396584,7
E01000256,2,31.8,0.208841463,4.5
E01000257,5,27.3,0.26519337,11.3
E01000258,3,20.8,0.32183908,3.9
E01000259,3,20.2,0.254081633,6
E01000260,2,24.3,0.253613666,6.1
E01000261,2,13.4,0.359133127,4.4
E01000262,2,10.2,0.194148936,6.5
E01000263,1,40.1,0.122244489,1.6
E01000264,4,43.6,0.266561514,5.7
E01000265,4,91.4,0.289506953,7.4
E01000266,1,23.8,0.156555773,4.2
E01000267,2,54.4,0.227513228,5.1
E01000268,3,68.9,0.293959732,6.8
E01000269,2,52.5,0.188785047,4.8
E01000270,2,58.8,0.290734824,3
E01000271,2,42.9,0.273195876,4.8
E01000272,4,28.5,0.177350427,2.8
E01000273,5,46.2,0.347222222,4
E01000274,3,69.7,0.253218884,6.1
E01000275,5,49.4,0.299689441,4.3
E01000276,1,29.6,0.156126482,2.9
E01000277,6,86,0.441441441,9
E01000278,1,55,0.134538153,3.2
E01000279,1,2.9,0.155945419,3.2
E01000280,1,13.6,0.167002012,3.6
E01000281,5,46.8,0.295833333,5.9
E01000282,2,32.2,0.236306729,4.5
E01000283,2,43.3,0.152083333,4.3
E01000284,6,60.6,0.374358974,5.2
E01000285,4,71.7,0.318032787,6.2
E01000286,5,58.4,0.325688073,9.1
E01000287,4,58.1,0.247588424,8.3
E01000288,1,46.6,0.242957746,4.5
E01000289,5,64.6,0.212361331,12.4
E01000290,4,7.6,0.341246291,6.5
E01000291,5,63.1,0.260797342,11.8
E01000292,3,51,0.310015898,5.7
E01000293,2,62.9,0.222741433,3.8
E01000294,9,48.3,0.349702381,7.9
E01000295,1,83.9,0.298833819,5.7
E01000296,1,76.9,0.286103542,5.4
E01000297,1,61.8,0.299638989,6.1
E01000298,1,68.1,0.283765348,4.7
E01000299,5,109.6,0.326086957,5.8
E01000300,3,94.1,0.322338831,3.6
E01000301,1,53.6,0.193181818,4.3
E01000302,7,81.3,0.427380952,7.6
E01000303,1,72.4,0.188888889,4.6
E01000304,2,87.6,0.249597424,7.7
E01000305,3,24.1,0.348508634,8.9
E01000306,1,115.7,0.195340502,4.1
E01000307,1,33,0.218867925,8.1
E01000308,6,28.7,0.384155456,14.7
E01000309,1,62.8,0.227786753,5
E01000310,1,66.6,0.186875892,6.3
E01000311,1,46.8,0.155319149,5
E01000312,6,114.1,0.363380282,8
E01000313,1,85.2,0.294642857,6.9
E01000314,1,74.3,0.208206687,5.6
E01000315,6,33.9,0.234527687,8.9
E01000316,2,56.9,0.221967963,8.1
E01000317,4,94.5,0.322678843,6.3
E01000318,2,67.6,0.178688525,6.2
E01000319,1,94.3,0.18147448,4.3
E01000320,4,63.2,0.324840764,6
E01000321,6,93.4,0.358571429,4.9
E01000322,3,83.9,0.34754522,5.5
E01000323,6,92.6,0.38265896,6.3
E01000324,5,65.8,0.277862595,5.4
E01000325,1,41.1,0.180102916,4.5
E01000326,2,47.4,0.238970588,2.6
E01000327,1,39.4,0.231788079,3.4
E01000328,2,27.2,0.258389262,5.5
E01000329,3,27.4,0.280464217,6.7
E01000330,5,60.5,0.458549223,6.4
E01000331,5,30.5,0.236628849,7.3
E01000332,1,55,0.265139116,5.8
E01000333,5,57.3,0.431273644,7.1
E01000334,1,60.8,0.2734375,4.9
E01000335,1,12.9,0.23354232,11.1
E01000336,4,104.3,0.375788146,10.3
E01000337,2,60.2,0.26546003,8
E01000338,1,101.1,0.301587302,5.4
E01000339,2,60,0.240863787,5.3
E01000340,1,64.6,0.266558966,3.8
E01000341,1,61.3,0.268852459,3.7
E01000342,1,72.9,0.245341615,3.9
E01000343,1,50.7,0.18,5.1
E01000344,2,71.1,0.261609907,3.4
E01000345,1,65.2,0.176591376,2.3
